Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-04,,WTE,-6.04,"(£19,725.79)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.04,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-05,,WTE,-0.04,(£319.95),,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Bank,-0.04,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-05,,WTE,-6.04,"(£19,162.25)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.04,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-06,,WTE,-6.04,"(£19,231.28)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.04,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-07,,WTE,-0.06,(£374.36),,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Bank,-0.06,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-07,,WTE,-6.04,"(£19,161.91)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.04,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-08,,WTE,-6.04,"(£19,166.93)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.04,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-09,,WTE,-6.04,"(£19,161.91)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.04,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-10,,WTE,0,£13.61 ,,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Bank,0,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-10,,WTE,-6.16,"(£24,454.17)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.16,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-11,,WTE,0.01,£0.00 ,,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Agency,0.01,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-11,,WTE,-6.28,"(£20,858.23)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.28,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-12,,WTE,-6.39,"(£21,206.49)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.39,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2025-01,,WTE,-0.28,"(£2,185.10)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Bank,-0.28,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2025-01,,WTE,-6.16,"(£20,251.44)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.16,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2025-02,,WTE,-6.34,"(£20,988.53)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.34,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2025-03,,WTE,-6.28,"(£20,747.08)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.28,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-04,,WTE,-1,"(£17,651.18)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-05,,WTE,-1,"(£16,078.29)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-06,,WTE,-1,"(£17,351.55)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-07,,WTE,-1,"(£17,183.05)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-08,,WTE,-1,"(£17,183.05)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-09,,WTE,-1,"(£17,183.05)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-10,,WTE,-1,"(£23,341.47)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-11,,WTE,-1,"(£17,873.70)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-12,,WTE,-1,"(£17,873.70)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2025-01,,WTE,-1,"(£17,873.70)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2025-02,,WTE,-1,"(£17,873.70)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2025-03,,WTE,-1,"(£17,873.70)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-04,,WTE,-8.8,"(£54,331.71)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-8.8,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-05,,WTE,-9.8,"(£60,172.68)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-9.8,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-06,,WTE,-9.8,"(£59,370.32)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-9.8,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-07,,WTE,-9.8,"(£59,057.80)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-9.8,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-08,,WTE,-9.8,"(£59,431.30)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-9.8,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-09,,WTE,-9.6,"(£57,952.87)",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-9.6,
