,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2023-11,,WTE,-0.10,-£614.81,,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Bank,-0.10,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2023-11,,WTE,-4.96,"-£15,414.37",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-4.96,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2023-12,,WTE,-0.05,£417.27,,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Bank,-0.05,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2023-12,,WTE,-5.16,"-£16,887.07",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-5.16,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-01,,WTE,-0.16,"-£1,057.37",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Bank,-0.16,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-01,,WTE,-5.16,"-£16,887.07",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-5.16,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-02,,WTE,-0.15,"-£1,122.76",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Bank,-0.15,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-02,,WTE,-4.11,"-£13,001.53",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-4.11,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-03,,WTE,0.00,-£0.04,,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Bank,0.00,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2024-03,,WTE,-6.04,"-£20,095.67",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.04,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2023-11,,WTE,-1.00,"-£14,373.23",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1.00,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2023-12,,WTE,-1.00,"-£12,935.23",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1.00,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-01,,WTE,0.00,"-£10,599.00",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,0.00,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-01,,WTE,-1.00,"-£14,013.73",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1.00,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-02,,WTE,0.00,-£635.94,,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,0.00,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-02,,WTE,-1.00,"-£13,778.90",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1.00,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-03,,WTE,0.00,£635.94,,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,0.00,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2024-03,,WTE,-1.00,"-£40,583.15",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1.00,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2023-11,,WTE,-7.80,"-£44,169.70",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.80,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2023-12,,WTE,-7.80,"-£48,631.28",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.80,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-01,,WTE,-6.80,"-£69,164.56",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.80,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-02,,WTE,0.00,£12.51,,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Agency,0.00,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-02,,WTE,-8.80,"-£53,849.52",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-8.80,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2024-03,,WTE,-8.80,"-£53,114.51",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-8.80,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2023-11,,WTE,-7.00,"-£44,184.05",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-7.00,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2023-12,,WTE,-6.10,"-£45,316.09",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-6.10,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2024-01,,WTE,-5.00,"-£30,247.66",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-5.00,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2024-02,,WTE,-5.62,"-£39,210.50",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-5.62,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2024-03,,WTE,-7.38,"-£48,961.55",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-7.38,
