Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Snr Managers,2025-04,,WTE,-6.02,"-£44,374.91",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-6.02,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Medical,2025-04,,WTE,-1.00,"-£18,583.37",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1.00,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Nursing,2025-04,,WTE,-7.80,"-£52,281.93",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.80,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2025-04,,WTE,-6.16,"-£21,327.56",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-6.16,
,Integrated Emergency and Medical Pathways,257505,UEC HCG MANAGEMENT,Pay,Admin & Clerical,2025-04,,WTE,0.00,-£0.01,,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Agency,0.00,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2025-04,,WTE,-67.59,"-£608,113.29",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-67.59,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2025-04,,WTE,-8.14,"-£133,553.10",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-8.14,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2025-04,,WTE,-7.12,"-£45,114.70",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.12,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,"Scientific, Therapeutic & Tech",2025-04,,WTE,-0.53,"-£3,182.80",,,Adult ED,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-0.53,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2025-04,,WTE,-2.11,"-£26,388.15",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-2.11,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2025-04,,WTE,-48.98,"-£362,004.11",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-48.98,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2025-04,,WTE,-1.80,"-£26,728.00",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-1.80,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Nursing,2025-04,,WTE,-7.20,"-£47,314.25",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.20,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,"Scientific, Therapeutic & Tech",2025-04,,WTE,-0.68,"-£4,075.74",,,Acute Medicine,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-0.68,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Medical,2025-04,,WTE,-1.56,"-£30,091.21",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-1.56,
,Urgent and Emergency Care,257515,EMERGENCY DEPARTMENT,Pay,Nursing,2025-04,,WTE,-107.08,"-£475,658.16",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-107.08,
,Urgent and Emergency Care,257515,EMERGENCY DEPARTMENT,Pay,Nursing,2025-04,,WTE,-27.51,"-£165,948.17",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-27.51,
,Urgent and Emergency Care,257515,EMERGENCY DEPARTMENT,Pay,"Scientific, Therapeutic & Tech",2025-04,,WTE,-1.64,"-£10,200.42",,,Adult ED,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-1.64,
,Urgent and Emergency Care,257515,EMERGENCY DEPARTMENT,Pay,Nursing,2025-04,,WTE,-0.07,-£862.81,,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Agency,-0.07,
,Urgent and Emergency Care,257515,EMERGENCY DEPARTMENT,Pay,Medical,2025-04,,WTE,0.00,-£164.50,,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,0.00,
,Urgent and Emergency Care,257516,ED RECEPTION,Pay,Admin & Clerical,2025-04,,WTE,-0.05,"-£1,369.94",,,Adult ED,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Bank,-0.05,
,Urgent and Emergency Care,257516,ED RECEPTION,Pay,Admin & Clerical,2025-04,,WTE,-24.11,"-£81,841.90",,,Adult ED,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-24.11,
,Urgent and Emergency Care,257517,ENP SERVICE,Pay,Nursing,2025-04,,WTE,-4.68,"-£32,793.94",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-4.68,
,Urgent and Emergency Care,257517,ENP SERVICE,Pay,Nursing,2025-04,,WTE,0.00,£0.09,,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,0.00,
,Urgent and Emergency Care,257517,ENP SERVICE,Pay,"Scientific, Therapeutic & Tech",2025-04,,WTE,-1.00,"-£6,410.90",,,Adult ED,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-1.00,
,Urgent and Emergency Care,257520,ACUTE ADMIN,Pay,Admin & Clerical,2025-04,,WTE,-12.97,"-£41,356.32",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-12.97,
,Urgent and Emergency Care,257525,ADULT ASSESSMENT UNIT,Pay,Nursing,2025-04,,WTE,-43.77,"-£197,183.12",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-43.77,
,Urgent and Emergency Care,257525,ADULT ASSESSMENT UNIT,Pay,Nursing,2025-04,,WTE,-9.99,"-£55,885.14",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-9.99,
,Urgent and Emergency Care,257525,ADULT ASSESSMENT UNIT,Pay,Nursing,2025-04,,WTE,-0.83,"-£5,165.94",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Agency,-0.83,
,Urgent and Emergency Care,257526,SHORT STAY WARD,Pay,Nursing,2025-04,,WTE,-33.34,"-£142,581.04",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-33.34,
,Urgent and Emergency Care,257526,SHORT STAY WARD,Pay,Nursing,2025-04,,WTE,-10.79,"-£49,624.93",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-10.79,
,Urgent and Emergency Care,257526,SHORT STAY WARD,Pay,Nursing,2025-04,,WTE,-0.35,"-£1,568.72",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Agency,-0.35,
,Urgent and Emergency Care,257527,SAME DAY EMERGENCY CARE,Pay,Nursing,2025-04,,WTE,-20.43,"-£79,945.43",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-20.43,
,Urgent and Emergency Care,257527,SAME DAY EMERGENCY CARE,Pay,Nursing,2025-04,,WTE,-2.09,"-£9,681.67",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-2.09,
,Integrated Emergency and Medical Pathways,257710,MEDICINE HCG MANAGEMENT,Pay,Snr Managers,2025-04,,WTE,-2.00,"-£15,829.39",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Senior Managers,Substantive,-2.00,
,Integrated Emergency and Medical Pathways,257710,MEDICINE HCG MANAGEMENT,Pay,Medical,2025-04,,WTE,-0.40,"-£5,846.88",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-0.40,
,Integrated Emergency and Medical Pathways,257710,MEDICINE HCG MANAGEMENT,Pay,Nursing,2025-04,,WTE,-9.00,"-£71,647.59",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-9.00,
,Integrated Emergency and Medical Pathways,257710,MEDICINE HCG MANAGEMENT,Pay,Nursing,2025-04,,WTE,0.00,£0.04,,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,0.00,
,Integrated Emergency and Medical Pathways,257710,MEDICINE HCG MANAGEMENT,Pay,Admin & Clerical,2025-04,,WTE,-12.72,"-£56,019.46",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-12.72,
,Integrated Emergency and Medical Pathways,257710,MEDICINE HCG MANAGEMENT,Pay,Admin & Clerical,2025-04,,WTE,-0.21,"-£3,505.48",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Bank,-0.21,
,Integrated Emergency and Medical Pathways,257710,MEDICINE HCG MANAGEMENT,Pay,Admin & Clerical,2025-04,,WTE,-1.00,"-£23,725.68",,,Integrated Emergency and Medical Pathways,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Agency,-1.00,
,Frailty and General Medicine,257711,Medical Staffing GenMed,Pay,Medical,2025-04,,WTE,-9.94,"-£81,997.28",,,General Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-9.94,
,Frailty and General Medicine,257711,Medical Staffing GenMed,Pay,Medical,2025-04,,WTE,-4.16,"-£57,349.35",,,General Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-4.16,
,Frailty and General Medicine,257711,Medical Staffing GenMed,Pay,Medical,2025-04,,WTE,-0.81,"£11,902.58",,,General Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-0.81,
,Frailty and General Medicine,257712,Kingsmoor Ward,Pay,Nursing,2025-04,,WTE,-36.03,"-£140,323.27",,,General Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-36.03,
,Frailty and General Medicine,257712,Kingsmoor Ward,Pay,Nursing,2025-04,,WTE,-11.63,"-£53,772.34",,,General Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-11.63,
,Frailty and General Medicine,257712,Kingsmoor Ward,Pay,Admin & Clerical,2025-04,,WTE,-1.00,"-£2,753.91",,,General Medicine,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-1.00,
,Frailty and General Medicine,257712,Kingsmoor Ward,Pay,Nursing,2025-04,,WTE,0.00,£30.13,,,General Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Agency,0.00,
,Frailty and General Medicine,257713,Nightingale Ward,Pay,Medical,2025-04,,WTE,-1.00,"-£5,483.90",,,General Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-1.00,
,Frailty and General Medicine,257713,Nightingale Ward,Pay,Medical,2025-04,,WTE,-0.58,"-£3,995.35",,,General Medicine,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-0.58,
,Frailty and General Medicine,257713,Nightingale Ward,Pay,Nursing,2025-04,,WTE,-17.75,"-£70,876.42",,,General Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-17.75,
,Frailty and General Medicine,257713,Nightingale Ward,Pay,Nursing,2025-04,,WTE,-7.76,"-£34,663.70",,,General Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-7.76,
,Frailty and General Medicine,257713,Nightingale Ward,Pay,"Scientific, Therapeutic & Tech",2025-04,,WTE,-2.00,"-£7,971.11",,,General Medicine,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-2.00,
,Frailty and General Medicine,257713,Nightingale Ward,Pay,Admin & Clerical,2025-04,,WTE,0.00,-£5.60,,,General Medicine,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Bank,0.00,
,Frailty and General Medicine,257713,Nightingale Ward,Pay,Admin & Clerical,2025-04,,WTE,-1.00,"-£2,754.53",,,General Medicine,,Integrated Emergency and Medical Pathways,Admin & Clerical Staff,Substantive,-1.00,
,Frailty and General Medicine,257713,Nightingale Ward,Pay,Ancillary,2025-04,,WTE,-1.00,"-£2,744.76",,,General Medicine,,Integrated Emergency and Medical Pathways,"HCA, Other Support & Ancillary Staff",Substantive,-1.00,
