Directorate,Department,Specialty,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Multidisciplinary meetings,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Unpredictable Emergency Work,Ward rounds,Total,
Corporate Services,Chief Clinical Information Officer (CCIO),,Consultant,Full time,01/04/2023,2003,,0.3750,1.6548,0.0774,0.5952,1.3630,,,,,0.1935,4.2589,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2023,2003,,0.7620,,,,2.6189,1.9048,1.6789,,0.4221,,7.3867,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2023,2003,,1.3213,,,,1.3095,1.8718,0.3002,,0.0622,2.2024,7.0674,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2023,2003,,0.1905,,0.1310,,1.8230,1.3096,1.5181,,0.3980,,5.3702,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2023,2003,,0.9524,,,,2.6040,2.5262,1.6789,,0.4221,,8.1836,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2023,2003,Locum,0.4286,,,,1.5625,1.8214,0.6834,,0.1197,3.4286,8.0442,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Part time,01/04/2023,2003,,0.2202,0.2202,0.1429,,1.3010,0.8807,0.3002,,0.0622,3.9643,7.0917,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2023,2003,,1.3335,,0.2045,,,2.5714,1.9289,,0.6456,2.6040,9.2879,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2023,2003,,0.9525,,,,2.6189,2.6189,1.6789,,0.4221,,8.2913,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Part time,01/04/2023,2003,,,,,,,0.2500,,,,5.2500,5.5000,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2023,2003,,0.8572,,1.4373,,2.6040,2.3809,1.6789,,0.4221,0.3810,9.7614,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2023,2003,,1.3335,,,,2.6040,2.4762,1.6789,,0.4221,,8.5147,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2023,2003,,1.2142,,,,2.6030,2.6190,1.6789,,0.4221,0.1607,8.6979,
"NEW: Family, Diagnostic and Community Division",Community Services ,Dermatology,Consultant,Full time,01/04/2023,2003,,3.5002,0.9844,0.6250,,,5.5000,,,,,10.6096,
"NEW: Family, Diagnostic and Community Division",Community Services ,Dermatology,Consultant,Full time,01/04/2023,Pre 2003,,2.2813,,0.2500,,,5.2500,,,,0.3750,8.1563,
"NEW: Family, Diagnostic and Community Division",Community Services ,Neurology,SAS Doctor,Part time,01/04/2023,2008,,1.2500,,0.2500,,,2.8750,,,,,4.3750,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,SAS Doctor,Full time,01/04/2023,2008,,1.0000,,0.2500,2.5000,,7.0000,,,,,10.7500,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,SAS Doctor,Full time,01/04/2019,2008,,,,0.2500,1.5000,,8.0000,,,,,9.7500,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,SAS Doctor,Full time,01/04/2023,2008,,1.0000,,0.2500,,,7.0000,,,,,8.2500,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,Consultant,Part time,01/04/2022,2003,,0.5000,,0.2500,3.1880,,1.5000,,,,0.3540,5.7920,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,Consultant,Full time,01/04/2023,2003,,1.0000,,0.2500,3.1250,,5.0000,,,,,9.3750,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,Consultant,Full time,01/04/2023,Pre 2003,,1.0000,,0.2500,2.5000,,4.0000,,,,,7.7500,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,SAS Doctor,Full time,01/04/2023,2008,,1.0000,,0.2500,2.5834,,8.0000,,,,0.3334,12.1668,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,Consultant,Full time,01/04/2023,Pre 2003,,1.0000,0.5000,0.2500,1.8750,,3.0000,,,,,6.6250,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,Consultant,Part time,01/04/2023,2003,,1.0000,,0.2500,1.2500,,3.0000,,,,,5.5000,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,SAS Doctor,Full time,01/04/2023,2008,,1.0000,1.0000,0.2500,,,9.0000,,,,,11.2500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,SAS Doctor,Full time,01/04/2023,2008,,1.0000,,1.2500,2.6250,,3.6250,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,SAS Doctor,Full time,01/04/2023,Pre 2008,,1.0000,,1.2500,3.1488,,3.1250,,,,,8.5238,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,Consultant,Part time,01/04/2023,2003,,1.1696,,1.2500,2.6250,,2.0000,,,,,7.0446,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,6.1250,1.3750,,,0.2500,1.0000,,,,8.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,0.3750,5.3750,1.0000,,,1.0000,1.0000,,,,8.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,7.5000,1.0000,,,,1.0000,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,7.2500,0.7500,,,,1.0000,,,,9.0000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Part time,01/04/2023,2003,,,3.1875,,,,,,,,,3.1875,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,7.7500,1.0000,,,,1.0000,,,,9.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,6.3750,1.2500,,,,1.0000,,,,8.6250,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,7.3750,0.3750,,,,1.0000,,,,8.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,7.2500,1.2500,,,,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,6.5000,1.2500,,,,1.0000,,,,8.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,6.5000,1.2500,,,,1.0000,,,,8.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2023,2003,,,8.7500,0.2500,,,,1.0000,,,,10.0000,
