Directorate,Department,Specialty,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Clinical service management,Multidisciplinary meetings,Non-individual patient attributable,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Unpredictable Emergency Work,Ward rounds,Total,
Corporate Services,Chief Clinical Information Officer (CCIO),,Consultant,Full time,01/04/2024,2003,,,1.2500,,,,0.2976,0.3810,,,,,0.1845,2.1131,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2024,Pre 2003,,0.7142,0.1881,,,,,2.7085,2.4453,1.9504,,0.4596,,8.4661,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2023,2003,,,,,,,,1.9900,,0.8918,,0.1516,,3.0334,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2024,2003,,0.8572,,,,,,2.6189,1.9048,1.6789,,0.4221,,7.4819,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2024,2003,,0.7620,,,,,,2.6189,2.4762,1.6789,,0.4971,,8.0331,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2024,2003,,0.1905,,,0.1310,,,1.8230,1.3096,1.5181,,0.3980,,5.3702,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2024,2003,,0.7396,0.1563,,0.2083,,,1.8334,1.7708,1.5181,,0.4569,,6.6834,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2024,2003,,1.1905,,,,,,2.6040,2.5714,1.6789,,0.4221,,8.4669,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Part time,01/04/2024,2003,,0.4286,,,,,,1.4063,0.8571,0.6097,,0.1086,3.1249,6.5352,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Part time,01/04/2024,2003,,0.2202,0.2202,,0.1429,,,1.3010,0.8807,0.3002,,0.0622,3.3036,6.4310,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2024,2003,,1.0774,,,,,,,2.6667,1.9289,,0.7035,2.6040,8.9805,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2024,2003,,1.0953,,,,,,2.6189,2.6189,1.6789,,0.4221,,8.4341,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Part time,01/04/2024,2003,,,,,,,,,0.2500,,,,5.0000,5.2500,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2024,2003,,0.6667,,,0.2738,,,2.6040,2.4286,1.6789,,0.4221,0.3810,8.4551,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Part time,04/03/2024,2003,,1.2500,,,,,,,3.2500,,,,,4.5000,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,Consultant,Full time,01/04/2024,2003,,0.8571,,,,,,2.5751,2.7143,1.6789,,0.4971,0.5114,8.8339,
"NEW: Family, Diagnostic and Community Division",Community Services ,Dermatology,SAS Doctor,Full time,01/04/2024,2008,Locum,1.9479,0.5000,,0.5000,0.8750,,,4.4272,,,,,8.2501,
"NEW: Family, Diagnostic and Community Division",Community Services ,Dermatology,Consultant,Full time,01/04/2024,2003,Locum,1.5417,,,0.6250,,0.5000,,5.3333,,,,,8.0000,
"NEW: Family, Diagnostic and Community Division",Community Services ,Dermatology,Consultant,Full time,01/04/2024,2003,,2.4583,0.5000,,0.5000,,,,3.4375,,,,,6.8958,
"NEW: Family, Diagnostic and Community Division",Community Services ,Dermatology,Consultant,Full time,01/04/2024,Pre 2003,,2.2813,,,0.2500,,,,5.2500,,,,0.3750,8.1563,
"NEW: Family, Diagnostic and Community Division",Community Services ,Neurology,Consultant,Part time,01/04/2024,2003,,3.4688,,,0.9732,,,,3.2500,,,,,7.6920,
"NEW: Family, Diagnostic and Community Division",Community Services ,Neurology,Consultant,Part time,01/04/2024,2003,,1.5000,,,0.5000,,,,2.3750,,,,1.0000,5.3750,
"NEW: Family, Diagnostic and Community Division",Community Services ,Neurology,SAS Doctor,Part time,01/04/2024,2008,,1.1250,,,0.2500,,,,2.2500,,,,,3.6250,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,SAS Doctor,Full time,01/04/2024,2008,,1.0000,,,0.2500,,2.5000,,7.0000,,,,,10.7500,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,Consultant,Full time,01/04/2024,2003,Locum,1.0000,,,0.2500,,3.5416,,3.5000,,,,,8.2916,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,SAS Doctor,Full time,01/04/2024,2021,,1.0000,,,0.2500,,2.6666,,4.5000,,,,,8.4166,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,SAS Doctor,Full time,01/04/2019,2008,,,,,0.2500,,1.5000,,8.0000,,,,,9.7500,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,SAS Doctor,Full time,01/04/2024,2008,,1.0000,,,0.2500,,,,6.0000,,,,,7.2500,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,Consultant,Full time,01/04/2024,2003,,1.0000,,,0.2500,,1.2500,,5.9931,,,,,8.4931,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,SAS Doctor,Full time,01/04/2024,2021,,1.5000,,,0.2500,,1.0000,,4.8006,,,,,7.5506,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,Consultant,Full time,01/04/2024,Pre 2003,,1.0000,,,0.2500,,1.2500,,4.0000,,,,,6.5000,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,Consultant,Full time,01/04/2024,2003,,1.0000,1.4375,,0.2500,,1.5625,,2.1875,,,,,6.4375,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,Consultant,Full time,01/04/2024,2003,,1.0000,,,0.2500,,2.9166,,4.5000,,,,,8.6666,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,Consultant,Part time,01/04/2023,2003,,1.0000,,,0.2500,,1.2500,,3.0000,,,,,5.5000,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,Consultant,Full time,01/04/2024,2003,,1.0000,,,0.2500,,0.4000,,6.7667,,,,0.1000,8.5167,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,SAS Doctor,Full time,01/04/2024,2008,,1.0000,1.0000,,0.2500,,,,9.0000,,,,,11.2500,
"NEW: Family, Diagnostic and Community Division",Community Services ,Ophthalmology,Consultant,Full time,01/04/2024,2003,Locum,0.7500,4.0000,,0.2500,,1.8750,,,,,,,6.8750,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,Consultant,Full time,01/04/2024,2003,,1.0000,,,1.2500,,2.6250,,3.6250,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,SAS Doctor,Full time,01/04/2024,2021,,1.1250,,,1.2500,,2.6250,,3.5000,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,SAS Doctor,Full time,01/04/2024,2008,,1.0000,,,1.2500,,2.6250,,3.6250,,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,SAS Doctor,Full time,01/04/2024,Pre 2008,,1.0000,,,1.2500,,3.1488,,3.1250,,,,,8.5238,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Breast Surgery,Consultant,Part time,01/04/2024,2003,,1.2619,,,1.2500,,2.0313,,2.0000,,,,,6.5432,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,2003,,,6.1250,,1.3750,,,,0.2500,1.0000,,,,8.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,2003,,0.5000,4.2500,,1.0000,,,,1.0000,1.0000,,,,7.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,2003,,,7.5000,,1.0000,,,,,1.0000,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,2003,Locum,,7.2500,,0.7500,,,,,1.0000,,,,9.0000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,2003,,,6.6250,,1.2500,,,,,1.0000,,,,8.8750,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,2003,,,7.3750,,0.3750,,,,,1.0000,,,,8.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,2003,,,6.2500,,1.2500,,,,,,,,,7.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,2003,,,5.5000,,1.2500,,,,,1.0000,,,,7.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,Pre 2003,,,6.3750,,1.3750,,,,,1.0000,,,,8.7500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,2003,,,8.7500,,0.2500,,,,,1.0000,,,,10.0000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,2003,,0.1250,6.8750,,0.5000,,,,,1.0000,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,2003,,,8.1250,,0.3750,,,,,1.0000,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Part time,01/04/2024,2003,,,3.1250,,0.1250,,,,,,,,,3.2500,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Part time,01/04/2024,2003,,,4.6250,,0.8750,,,,,1.0000,,,,6.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,2003,,,6.6250,,0.8750,,,,,1.0000,,,,8.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Radiology,Consultant,Full time,01/04/2024,2003,,,7.7500,,0.7500,,,,,1.0000,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2024,2003,,0.2500,6.2500,,,,,,3.2500,,,1.0017,,10.7517,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2024,2003,,,9.2500,,0.2500,,,,,,,,,9.5000,
"NEW: Family, Diagnostic and Community Division","Outpatient, Diagnostic & Breast ",Retained Pathology Services,Consultant,Full time,01/04/2024,2003,,,6.0000,,0.5000,,,,,,,,,6.5000,
