Directorate,Department,Specialty,Team,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Clinical service management,Multidisciplinary meetings,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Travelling time,Unpredictable Emergency Work,Ward rounds,Total,
Corporate Services,Chief Clinical Information Officer (CCIO),,,Consultant,Full time,01/04/2025,2003,,,1.2500,,,0.2976,0.3810,,,,,,0.1845,2.1131,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,,Consultant,Full time,01/04/2025,Pre 2003,,0.9023,0.1881,,,,2.7085,2.4453,1.9504,,,0.4596,,8.6542,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,,Consultant,Full time,01/04/2023,2003,,,,,,,1.9900,,0.8918,,,0.1516,,3.0334,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,,Consultant,Full time,01/04/2025,2003,,1.7063,,,,,2.6040,2.0714,1.6789,,,0.4221,,8.4827,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,,Consultant,Full time,01/04/2025,2003,,0.7769,,,,,2.6189,2.4762,1.6789,,,0.4971,,8.0480,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,,Consultant,Full time,01/04/2025,2003,,0.1905,,,0.1310,,1.8230,1.3096,1.5181,,,0.3980,,5.3702,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,,Consultant,Full time,01/04/2025,2003,,0.7396,0.1563,,0.2083,,1.8334,1.7708,1.5181,,,0.4569,,6.6834,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,,Consultant,Full time,01/04/2025,2003,,1.1905,,,,,2.6040,2.5714,1.6789,,,0.4221,,8.4669,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,,Consultant,Full time,01/04/2025,2003,,0.4286,,,,,1.4063,0.8571,0.6097,,,0.1086,3.1249,6.5352,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,,Consultant,Part time,01/04/2025,2003,,0.2202,0.2202,,0.2500,,1.3010,0.8807,0.3002,,,0.0622,3.3036,6.5381,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,,Consultant,Full time,01/04/2025,2003,,1.0774,,,,,,2.6667,1.9289,,,0.7035,2.6040,8.9805,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,,Consultant,Full time,01/04/2025,2003,,0.6656,,,,,1.1960,1.8030,0.4527,,,0.0772,3.9150,8.1095,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,,Consultant,Full time,01/04/2025,2003,,1.0953,,,,,2.6189,2.6189,1.6789,,,0.4221,,8.4341,
"NEW: Family, Diagnostic and Community Division","Babies, Children & Young People",Paediatrics,,Consultant,Part time,01/04/2025,2003,,,,,,,,0.2500,,,,,5.0000,5.2500,
