,Month,Size
RTT PTL Size,30/04/2023,35261
RTT PTL Size,31/05/2023,35210
RTT PTL Size,30/06/2023,37145
RTT PTL Size,31/07/2023,37742
RTT PTL Size,31/08/2023,37515
RTT PTL Size,30/09/2023,39417
RTT PTL Size,31/10/2023,38593
RTT PTL Size,30/11/2023,37765
RTT PTL Size,31/12/2023,37726
RTT PTL Size,31/01/2024,38507
RTT PTL Size,29/02/2024,39525
RTT PTL Size,31/03/2024,41447
RTT PTL Size,30/04/2024,43221
RTT PTL Size,31/05/2024,45090
RTT PTL Size,30/06/2024,42315
RTT PTL Size,31/07/2024,45288
RTT PTL Size,31/08/2024,45465
RTT PTL Size,30/09/2024,44995
RTT PTL Size,31/10/2024,45283
RTT PTL Size,30/11/2024,53153
RTT PTL Size,31/12/2024,53902
RTT PTL Size,31/01/2025,54423
RTT PTL Size,28/02/2025,54245
RTT PTL Size,31/03/2025,54268
RTT PTL Size,30/04/2025,51395
RTT PTL Size,31/05/2025,49589
RTT PTL Size,30/06/2025,48443
RTT PTL Size,31/07/2025,46788
RTT PTL Size,31/08/2025,44367
RTT PTL Size,30/09/2025,43440
RTT PTL Size,31/10/2025,42194
RTT PTL Size,30/11/2025,41155
RTT PTL Size,31/12/2025,40006
RTT PTL Size,31/01/2026,40165
RTT PTL Size,28/02/2026,38734
RTT PTL Size,31/03/2026,39763
